txn_date,narration,credit_paise,debit_paise,closing_balance_paise,bank_ref
05/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-277220627876,8726707,0,108726707,HDFC583659619
12/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-556637166543,56963042,0,165689749,HDFC493525420
13/01/2026,NEFT-RAZORPAY SOFTWARE PRIVA-301426507158-HDFC-XXXXX,23526748,0,189216497,HDFC552954406
14/01/2026,NEFT-RAZORPAY SOFTWARE PRIVA-741576669711-HDFC-XXXXX,10006187,0,199222684,HDFC397061935
15/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-602741598818,5460291,0,204682975,HDFC686939887
19/01/2026,UPI/CR/833245653592/RAZORPAY/HDFC/SETTLEMENT,5031197,0,209714172,HDFC992547133
20/01/2026,IMPS/686356804281/RAZORPAYSOFTWARE/SETTLEMENT,18961959,0,228676131,HDFC881828001
21/01/2026,NEFT-RAZORPAY SOFTWARE PRIVA-240541924190-HDFC-XXXXX,8226491,0,236902622,HDFC568810429
22/01/2026,IMPS/962754113761/RAZORPAYSOFTWARE/SETTLEMENT,7289425,0,244192047,HDFC949817451
23/01/2026,RTGS-243228123774-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,5424090,0,249616137,HDFC953200008
26/01/2026,UPI/CR/63826858476S/RAZORPAY/HDFC/SETTLEMENT,3821180,0,253437317,HDFC508841641
27/01/2026,MISC CR 8817726251,24480572,0,277917889,HDFC180088645
28/01/2026,UPI/CR/587048500134/RAZORPAY/HDFC/SETTLEMENT,5626817,0,283544706,HDFC190614913
29/01/2026,RTGS-489129999805-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,5532673,0,289077379,HDFC235212490
02/02/2026,NEFT-RAZORPAY SOFTWARE PRIVA-650157847101-HDFC-XXXXX,18780038,0,307857417,HDFC694923453
03/02/2026,IMPS/598482514456/RAZORPAYSOFTWARE/SETTLEMENT,29551437,0,337408854,HDFC813332652
04/02/2026,IMPS/342938450249/RAZORPAYSOFTWARE/SETTLEMENT,6225860,0,343634714,HDFC922132268
05/02/2026,UPI/CR/486357951311/RAZORPAY/HDFC/SETTLEMENT,5906683,0,349541397,HDFC464243184
09/02/2026,UPI/CR/323365791089/RAZORPAY/HDFC/SETTLEMENT,6635670,0,356177067,HDFC199729986
