payment_id,order_id,captured_at,amount_paise,method,fee_paise,gst_paise,settlement_id,status
pay_oog83g47fp36lf,order_zt3dpzxiyk4enj,2026-03-05 13:38:17,68600,wallet,1509,272,setl_gp497c84ae5o2v,captured
pay_bbj0rfz1e1ylpt,order_fkgf9luv5yko0q,2026-03-14 22:25:32,80700,card,1614,291,setl_58rfwsehgtslk1,captured
pay_60jdxbouvuldv9,order_h9yyb8jkt4p3wj,2026-03-11 16:20:24,709400,upi,0,0,setl_b22xdffp5gilvj,captured
pay_63kyvlq41o9vjw,order_jgl3ntk4jazfo2,2026-03-12 17:17:59,59900,upi,0,0,setl_jvumun9mdld03w,captured
pay_i3x4luiawgjyqz,order_74o2a8lvyubov4,2026-03-17 20:22:48,150600,upi,0,0,setl_wagj3q30f1bxtw,captured
pay_yknrpb7ip2nf3q,order_4uni8h38vbr1jn,2026-03-17 08:10:51,43300,netbanking,823,148,setl_wagj3q30f1bxtw,captured
pay_zee1tlmrejbr0v,order_pl3p6nmk0413qt,2026-01-15 20:06:32,301900,netbanking,5736,1032,setl_77w2jaqyt9q8fx,captured
pay_j60fd2v0jnjpxl,order_7ghrsbrgx4mw2i,2026-03-30 12:04:07,128100,upi,0,0,setl_kxj9b9jg0pswv5,captured
pay_aibvgq3rf4tbgm,order_nb5578f6j6lkcj,2026-02-08 19:43:09,68000,upi,0,0,setl_lqv1guqfhvhipf,captured
pay_u61q74k9juge8b,order_xqb59tyocslbup,2026-02-01 22:04:55,76500,upi,0,0,setl_wtdawru6vzsqao,captured
pay_8o4b0v5tjrcr6m,order_4tgw7ml03tmdhc,2026-03-02 21:49:30,31100,upi,0,0,setl_ghish9clfjybg7,captured
pay_0p0m96x2ebnbdp,order_2w8br6dh9gtrge,2026-02-08 19:01:44,54300,upi,0,0,setl_lqv1guqfhvhipf,captured
pay_kmz36e4797e482,order_3fjrsssmb3lgfb,2026-01-09 10:30:04,326400,upi,0,0,setl_wczngzgpdx2vlj,captured
pay_8tv8tqtcktkpk0,order_c23kfmu8h490vc,2026-03-16 16:26:08,82000,upi,0,0,setl_0j8yan61kfvae6,captured
