refund_id,payment_id,created_at,amount_paise,type,settlement_id,status
rfnd_axhou6cad7grjn,pay_hvglmud80w1jx1,2026-01-29,98000,refund,setl_qrtnq0w5cdj1fz,processed
rfnd_op1pkj3cxb6asb,pay_a0p4gd0ra0ivek,2026-02-17,25530,refund,setl_rek0ik6hmx1wvj,processed
rfnd_4ohiqyqb5aults,pay_ymw33k77hv4ppm,2026-03-05,736800,refund,setl_gp497c84ae5o2v,processed
rfnd_e3y96y0jk3ps74,pay_0vo8vvql2xqpkf,2026-03-10,99100,refund,setl_5uccniyrcaq04u,processed
rfnd_gu9eq8v81ck5ci,pay_d2ct85y4pn2z50,2026-02-28,88100,refund,setl_6ukblvz2l8aqqk,processed
rfnd_z3ygnzyk1m4k0k,pay_z29n6ipzeomhiu,2026-01-08,44608,refund,setl_dhh9yxncwi1on0,processed
rfnd_j8jt89bou0qqw9,pay_dmjbk7qtb37wpi,2026-01-14,135200,refund,setl_l9q54nop0e2y0e,processed
rfnd_iaicgnneqirtcv,pay_5wrfgqwxavqacq,2026-03-06,40900,refund,setl_t09hpfje1ebpw5,processed
rfnd_5474hsglo1xhen,pay_oovj9p4gehu1bp,2026-01-18,211100,refund,setl_lsdr1p4ascpfyv,processed
rfnd_9xtqjqltjheitr,pay_0uii678poyhfg5,2026-03-10,76700,refund,setl_5uccniyrcaq04u,processed
rfnd_8objy4kst7ot7i,pay_0y99v2xl8rgdz0,2026-03-25,404858,refund,setl_1zlgzogrw61dzk,processed
rfnd_7whon7bthmr1wk,pay_i08rqdnuo48c39,2026-02-10,9900,refund,setl_vwl76fog1dd96l,processed
rfnd_rmjxdgpmvol1gb,pay_e4in3orcuub98h,2026-02-28,320400,refund,setl_6ukblvz2l8aqqk,processed
rfnd_3nomimq6nki63a,pay_hb4ha31bjyroz9,2026-03-20,252000,refund,setl_qvbmospozcd7tt,processed
rfnd_dmmmoy8ptcp9gz,pay_rbd856qiuek3fq,2026-02-08,64000,refund,setl_lqv1guqfhvhipf,processed
rfnd_ykho7au52tjitb,pay_n90iazdutv9mfh,2026-03-17,67300,refund,setl_wagj3q30f1bxtw,processed
rfnd_zt4i7vv3agknzq,pay_8xnmsct7rq9pnt,2026-03-29,45000,refund,setl_ow0twtoerpe7vu,processed
rfnd_h5say9hc166dsu,pay_uczzz0rcjg51ac,2026-02-01,148400,refund,setl_wtdawru6vzsqao,processed
rfnd_tyaaellz9xlc91,pay_fui77vfl5pvt4g,2026-03-06,107100,refund,setl_t09hpfje1ebpw5,processed
rfnd_4570d8n2v9mv8v,pay_8r3yze9dwzhtjv,2026-02-17,24123,refund,setl_rek0ik6hmx1wvj,processed
rfnd_pb8ro1g6sxq0un,pay_y0d2xveyeh38ut,2026-03-19,116500,refund,setl_pda4jnpynovbu4,processed
rfnd_tf9l9ma3e72gdl,pay_yhg7700npe8agm,2026-03-10,129600,refund,setl_5uccniyrcaq04u,processed
rfnd_1t9hbdbxxnbker,pay_ub5gp3jndtsgje,2026-01-13,508900,refund,setl_y2rxrt4vhx921w,processed
rfnd_r8m4ouxw6swnc8,pay_f0oopo6miyk5c8,2026-01-15,69300,refund,setl_77w2jaqyt9q8fx,processed
rfnd_4ngdn7e1r656s6,pay_a50rb13vw04rd7,2026-01-29,40800,refund,setl_qrtnq0w5cdj1fz,processed
rfnd_4xb04i79d4t255,pay_ukimg9ec8wb0pl,2026-03-06,37600,refund,setl_t09hpfje1ebpw5,processed
rfnd_vp5vvbfha7h6t3,pay_fvewut05cw2o9m,2026-02-28,146700,chargeback,setl_6ukblvz2l8aqqk,processed
rfnd_1evjb2025et2fk,pay_ksbsniy7k1mgmk,2026-03-18,140434,refund,setl_dhvhrkoxibpgpa,processed
rfnd_va4p2wmcmi1lr1,pay_u4luh2t33lblbp,2026-01-14,225600,refund,setl_l9q54nop0e2y0e,processed
rfnd_idrg2dyb76t9oh,pay_gqdzeiaa1c1u4k,2026-02-11,158576,refund,setl_np21gb4w1kh69z,processed
rfnd_03berqe2mqlk31,pay_63q0ro5qgdyazj,2026-03-09,134400,refund,setl_dlxg7wuq8atouk,processed
rfnd_ar7mz2zhm0487u,pay_5xv3n5m3xis3fa,2026-03-29,557300,refund,setl_ow0twtoerpe7vu,processed
rfnd_0g6hekanuybkoc,pay_05129kyy1metyf,2026-03-20,43700,refund,setl_qvbmospozcd7tt,processed
rfnd_jwxt37duzg8sh9,pay_sf7tcfkxwg0i7u,2026-02-01,65300,refund,setl_wtdawru6vzsqao,processed
rfnd_wurddwsa7xr8wj,pay_og7ejnbutk3wgz,2026-03-15,89700,refund,setl_58rfwsehgtslk1,processed
rfnd_6xwfzm6905hpre,pay_2utwem7da3ivf6,2026-02-11,303800,chargeback,setl_np21gb4w1kh69z,processed
rfnd_eko4ux61f650px,pay_b5mi8wgwwpfry1,2026-01-21,43500,refund,setl_ovyj2fotbsflcg,processed
rfnd_ivwcd13fkkbbkt,pay_momiua0k0zi6w8,2026-03-16,61389,chargeback,setl_0j8yan61kfvae6,processed
rfnd_xgm0yj98h4wv8v,pay_cettpof4gmgljg,2026-02-13,133100,refund,setl_1ccachqdm6zqy6,processed
rfnd_6zctddkutcesyl,pay_i0kbo27lpjgbtf,2026-01-18,53900,refund,setl_lsdr1p4ascpfyv,processed
rfnd_9t3bturhp8a5yg,pay_4fwqr2nh0cq2md,2026-02-21,37076,refund,setl_p1cw1lfocopqsx,processed
rfnd_ju75ii9fjtjwp7,pay_c188ikc2k7ymeu,2026-02-21,19539,chargeback,setl_p1cw1lfocopqsx,processed
rfnd_3yh7wbatu0dg6i,pay_eg6uz7jghbasbs,2026-03-16,834000,refund,setl_0j8yan61kfvae6,processed
rfnd_cxkr1yz9fzjs2t,pay_qhzfs4xz8am3me,2026-02-03,264300,refund,setl_pz2onwk6evwj2o,processed
rfnd_9x2z5agd1z6mt4,pay_kuxbdbmw3x2hbq,2026-03-11,79400,refund,setl_b22xdffp5gilvj,processed
rfnd_smczvtfgsdye6j,pay_ra0kte3mbv2cyh,2026-01-10,70900,refund,setl_wczngzgpdx2vlj,processed
rfnd_l02arajyrw5o8p,pay_zgqe3lc73suntg,2026-02-20,745600,refund,setl_p1cw1lfocopqsx,processed
rfnd_n442ucuksh0xik,pay_aluzywmgxp6g0x,2026-01-21,213000,refund,setl_ovyj2fotbsflcg,processed
rfnd_9wodjtz7szaj9w,pay_bzds5g8vxl5043,2026-02-04,51198,refund,setl_0hhtjhdiwzcf0n,processed
