settlement_id,settled_at,utr,net_amount_paise,fee_paise,gst_paise,refund_paise,adjustment_paise
setl_ytk2x6ixuc1g3n,05-Jan-26,277220627876,8726707,58808,10585,0,0
setl_guejg2ci2ueajv,06-Jan-26,556637166543,25048568,203535,36636,0,0
setl_0y3f5i3lowyhl7,07-Jan-26,392395383924,8815375,78156,14069,0,0
setl_eg6abr92l84xwe,08-Jan-26,727675809503,9704908,108206,19476,28110,0
setl_rm81cb3fx2d1f8,09-Jan-26,271740460692,5150346,36911,6643,134200,0
setl_dhh9yxncwi1on0,12-Jan-26,325690870265,8243845,51310,9237,44608,0
setl_wczngzgpdx2vlj,13-Jan-26,301426507158,23526748,188193,33875,115357,0
setl_m3uyskj10mky0x,14-Jan-26,741576669711,10006187,56874,10239,111700,0
setl_y2rxrt4vhx921w,15-Jan-26,602741598818,5460291,49583,8926,658300,0
setl_l9q54nop0e2y0e,16-Jan-26,314477252003,6220931,62851,11314,630904,0
setl_77w2jaqyt9q8fx,19-Jan-26,833245653592,5031197,55039,9908,445856,0
setl_lsdr1p4ascpfyv,20-Jan-26,686356804281,18961959,167443,30139,1022400,0
setl_74jp1l7v8u544b,21-Jan-26,240541924190,8226491,69074,12435,41500,0
setl_5qh0t9lmyks1a1,22-Jan-26,962754113761,7289425,46164,8311,173600,0
setl_ovyj2fotbsflcg,23-Jan-26,243228123774,5424090,45830,8249,1416631,0
setl_mcjrqus21u72yb,26-Jan-26,638268584762,3821180,59170,10650,746900,0
setl_9ayrzw9gzo8u0a,27-Jan-26,217561994745,24480572,143159,25769,305800,0
setl_q2gssh4lb04rrn,28-Jan-26,587048500134,5626817,38376,6907,93000,0
setl_1qrq836c1gk53i,29-Jan-26,489129999805,5532707,50248,9045,261200,0
setl_f01agjt4c5hn88,30-Jan-26,650157847101,8143050,71316,12834,0,0
setl_qrtnq0w5cdj1fz,02-Feb-26,256798012200,10636988,68729,12373,207810,0
setl_wtdawru6vzsqao,03-Feb-26,598482514456,29551500,206849,37227,831122,0
setl_s1w2xvj47mp6ru,04-Feb-26,342938450249,6225860,65118,11722,0,0
setl_pz2onwk6evwj2o,05-Feb-26,486357951311,5906683,33403,6014,690500,0
setl_0hhtjhdiwzcf0n,06-Feb-26,495338685195,7449256,59139,10644,409761,0
setl_7jt987yfjvvmv9,09-Feb-26,323365791089,6635670,47571,8559,62500,0
setl_lqv1guqfhvhipf,10-Feb-26,967358700779,19299613,161344,29043,1728900,0
setl_ynra49tu2orwwh,11-Feb-26,243029719597,7983179,37306,6715,0,0
setl_vwl76fog1dd96l,12-Feb-26,921885990622,7303450,49740,8953,93292,49535
setl_np21gb4w1kh69z,13-Feb-26,342328082445,10271609,98032,17647,812412,0
setl_9ssvpb9jjfdl4c,16-Feb-26,466301251243,9072812,14226,2562,753900,0
setl_1ccachqdm6zqy6,17-Feb-26,439753574845,23880618,186484,33569,650544,0
setl_g9ndkzngcavtd0,18-Feb-26,854576342526,10911789,93003,16742,66066,0
setl_rek0ik6hmx1wvj,19-Feb-26,599353846711,6469813,34013,6121,809353,0
setl_mfvj716zca4hwl,20-Feb-26,214224444893,7266159,56221,10120,343900,0
setl_69g0u5yie4y6v7,23-Feb-26,488256225220,6853464,42657,7679,89100,0
setl_p1cw1lfocopqsx,24-Feb-26,621953714127,18738954,139173,25051,1792707,0
setl_qaq1263rljezt9,25-Feb-26,924959208871,7295569,26635,4796,164900,0
setl_aqe5h2v231o0s0,26-Feb-26,765341964028,6429757,50359,9062,51622,0
setl_3ajs8evqkc8r4g,27-Feb-26,917784247876,6262460,56814,10226,422600,0
setl_f0i6ke7rbhmjkt,02-Mar-26,992848280868,11046816,71860,12935,313672,0
setl_6ukblvz2l8aqqk,03-Mar-26,143496805550,29730589,174213,31358,1342436,0
setl_ghish9clfjybg7,04-Mar-26,169282446037,7910943,62173,11192,89492,0
setl_ibhjr0pf1ix7hg,05-Mar-26,794976046612,9627022,43753,7874,76551,0
setl_ebfh7a0fzwc2ju,06-Mar-26,643941719448,5821746,24198,4356,210700,0
setl_gp497c84ae5o2v,09-Mar-26,809811365302,5270567,41808,7525,1026100,0
setl_t09hpfje1ebpw5,10-Mar-26,524861070110,22237647,152194,27399,323560,0
setl_dlxg7wuq8atouk,11-Mar-26,530076777737,4896879,54631,9834,159456,0
setl_5uccniyrcaq04u,12-Mar-26,551288376681,9149301,102456,18443,526400,0
setl_b22xdffp5gilvj,13-Mar-26,969438434189,5611877,61063,10992,906300,-17068
setl_jvumun9mdld03w,16-Mar-26,873236110678,10141254,99741,17953,21252,0
setl_58rfwsehgtslk1,17-Mar-26,484049740251,17928821,154983,27896,449900,0
setl_0j8yan61kfvae6,18-Mar-26,986919796852,8061197,37772,6799,1096689,0
setl_wagj3q30f1bxtw,19-Mar-26,769699224170,6818324,26504,4772,363600,0
setl_dhvhrkoxibpgpa,20-Mar-26,127163071566,8266442,90511,16294,481853,0
setl_pda4jnpynovbu4,23-Mar-26,593605670134,7847161,63679,11460,426000,0
setl_qvbmospozcd7tt,24-Mar-26,219729084842,17903901,150573,27106,1675738,0
setl_a23u7r1nf00jzp,25-Mar-26,996618398027,11640579,51118,9203,67500,0
setl_v7475r71o0yc13,26-Mar-26,100136017085,9296474,97395,17531,46600,0
