txn_date,narration,credit_paise,debit_paise,closing_balance_paise,bank_ref
05/01/2026,RTGS-207592-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,7278877,0,107278877,HDFC999349800
07/01/2026,RTGS-219837883930-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,28474693,0,135753570,HDFC637573931
08/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-205450796750,9303611,0,145057181,HDFC347305199
09/01/2026,NEFT-RAZORPAY SOFTWARE PRIVA-HDFC-XXXXX,8094851,0,153152032,HDFC694906037
12/01/2026,RTGS-656830924203-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,8912329,0,162064361,HDFC822543356
13/01/2026,RTGS-449676178564-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,21359653,0,183424014,HDFC322108583
15/01/2026,IMPS/688158915910/RAZORPAYSOFTWARE/SETTLEMENT,15707107,0,199131121,HDFC755642162
16/01/2026,NEFT-RAZORPAY SOFTWARE PRIVA-603059499037-HDFC-XXXXX,7690555,0,206821676,HDFC585114202
19/01/2026,IMPS/456439215708/RAZORPAYSOFTWARE/SETTLEMENT,7378319,0,214199995,HDFC560249535
20/01/2026,UPI/CR/727973236408/RAZORPAY/HDFC/SETTLEMENT,23995399,0,238195394,HDFC693968776
21/01/2026,MISC CR 8817726251,7774837,0,245970231,HDFC245685570
22/01/2026,RTGS-60730-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,8778603,0,254748834,HDFC615703455
23/01/2026,RTGS-400802-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,7155385,0,261904219,HDFC640563992
26/01/2026,RTGS-562220951497-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,7511339,0,269415558,HDFC241452779
27/01/2026,RTGS-648383920449-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,21058962,0,290474520,HDFC508724331
28/01/2026,TRANSFER FROM 50100XXXXXXXX,6827835,0,297302355,HDFC888462489
02/02/2026,IMPS/388444329845/RAZORPAYSOFTWARE/SETTLEMENT,14281457,0,311583812,HDFC263066076
03/02/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-169779242554,41502914,0,353086726,HDFC543273674
09/02/2026,NEFT-RAZORPAY SOFTWARE PRIVA-718O51643867-HDFC-XXXXX,32414900,0,385501626,HDFC770171928
10/02/2026,RTGS-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,21446368,0,406947994,HDFC686945784
11/02/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-374579457875,7457224,0,414405218,HDFC555837103
12/02/2026,NEFT-RAZORPAY SOFTWARE PRIVA-217666566975-HDFC-XXXXX,6256015,0,420661233,HDFC852557829
13/02/2026,IMPS/221242540007/RAZORPAYSOFTWARE/SETTLEMENT,5798869,0,426460102,HDFC775850519
16/02/2026,RTGS-461152022342-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,10053156,0,436513258,HDFC400282943
17/02/2026,NEFT-RAZORPAY SOFTWARE PRIVA-483918437099-HDFC-XXXXX,22770846,0,459284104,HDFC869544906
18/02/2026,UPI/CR/351805979739/RAZORPAY/HDFC/SETTLEMENT,3471033,0,462755137,HDFC517623519
19/02/2026,UPI/CR/367444278733/RAZORPAY/HDFC/SETTLEMENT,5935253,0,468690390,HDFC561602214
23/02/2026,RTGS-373028-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,15847648,0,484538038,HDFC258778820
24/02/2026,NEFT-RAZORPAY SOFTWARE PRIVA-448068635142-HDFC-XXXXX,20664888,0,505202926,HDFC932194270
25/02/2026,IMPS/591293870527/RAZORPAYSOFTWARE/SETTLEMENT,8737259,0,513940185,HDFC482155907
03/03/2026,NEFT-RAZORPAY SOFTWARE PRIVA-526259216035-HDFC-XXXXX,58228811,0,572168996,HDFC964423986
04/03/2026,NEFT-RAZORPAY SOFTWARE PRIVA-283421670416-HDFC-XXXXX,7068355,0,579237351,HDFC742094597
10/03/2026,RTGS-960871667419-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,47851476,0,627088827,HDFC732342545
11/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-932195268762,5810555,0,632899382,HDFC825202835
