payment_id,order_id,captured_at,amount_paise,method,fee_paise,gst_paise,settlement_id,status
pay_994bzf3wbjrb5v,order_2idqyk9jt5zej9,2026-01-05 20:50:34,88800,upi,0,0,setl_jb4iycka7ebxm4,captured
pay_kr59z2l40dz3k3,order_410j4uzq42bpc5,2026-01-29 11:51:03,143100,upi,0,0,setl_j502p555prthl8,captured
pay_iunjcu4k4mw6kd,order_cw0wmj15y1pix6,2026-01-01 20:14:33,85900,card,1718,309,setl_2lzlm5imf0kd5q,captured
pay_jjdeud1ejkbjo2,order_vgfuesxcv2aifo,2026-03-23 09:45:05,90100,upi,0,0,setl_ihlz60xnvw9v27,captured
pay_z7gnkzv0f5m2cv,order_t97h0pcwrbf1jq,2026-03-29 08:22:19,58500,upi,0,0,setl_wqkvxto3gxvlu7,captured
pay_h4fh4ut1qlck49,order_2yp13wswjk3hj8,2026-02-04 21:56:03,90700,upi,0,0,setl_loeej8p0363err,captured
pay_0l1rlcy2uvfejo,order_nicsn25vwy3mem,2026-03-24 16:45:01,57400,card,1148,207,setl_bjuqk7c3un19bl,captured
pay_mdii62z0py7mdn,order_5l7tsr84gffzvc,2026-01-18 10:27:50,45100,upi,0,0,setl_jrm8iuv8pwnbst,captured
pay_sa86sq349x79nm,order_maqbpn2l3llij9,2026-02-17 22:37:56,106800,wallet,2350,423,setl_9994rz2os2zywh,captured
pay_lfi8rb75sr6pfm,order_lw6sosnzikrz1t,2026-01-04 16:06:48,90600,upi,0,0,setl_wepzs7szuqc9f6,captured
pay_xj61govlkkehnp,order_lafhyhvc57hl8z,2026-01-28 13:59:23,65000,upi,0,0,setl_nxu2v0awbwkxj5,captured
pay_8n1oxrq3epfkrf,order_fmixl52owmaeg4,2026-01-14 21:27:08,73600,netbanking,1398,252,setl_opdcf6j5wixc2v,captured
pay_as98szpjg9eyg6,order_brz310q12tj52s,2026-01-27 17:30:10,120500,card,2410,434,setl_lmc6qbtpgvhqfs,captured
pay_wp88av5r4lpyqe,order_334yxqy6r15zu8,2026-03-17 14:24:51,124200,card,2484,447,setl_nf76s64rcbd6hk,captured
pay_xbtwze6cnfw098,order_n6y6jop0c0ixqz,2026-03-17 12:00:15,44900,upi,0,0,setl_nf76s64rcbd6hk,captured
pay_6aus33u6wbpxy5,order_qkt4kcp3qs1du7,2026-01-22 13:34:11,251100,upi,0,0,setl_olhoefx33wper0,captured
pay_ukcx4g21g7qx3v,order_lif1k56rgxrnkf,2026-02-02 22:41:18,542600,card,10852,1953,setl_l3k3kfcno0zwp9,captured
pay_2iszqgsruhiadp,order_cg72bpou340nel,2026-02-20 07:29:24,72000,upi,0,0,setl_qal9h36vfum300,captured
pay_kevg1smpvyg7wu,order_7x3lk0nm2kep9n,2026-03-09 06:38:38,230900,upi,0,0,setl_6qsiife23ixpuu,captured
pay_3kwx9mozv36x6q,order_2aa03dkv85oweg,2026-02-28 18:48:34,38100,wallet,838,151,setl_wg96a9tv3603ep,captured
pay_ckp53k2dy8xtma,order_box7t3vxjy91ze,2026-03-02 09:40:30,240500,upi,0,0,setl_gxt8aimmy71t26,captured
pay_2bpc2x226n1xwy,order_i71e4jgol0ok51,2026-01-07 19:37:04,91600,card,1832,330,setl_jde75ge9flap8q,captured
pay_acefp96ohi85da,order_a324oso70bmel1,2026-03-04 14:09:34,324000,upi,0,0,setl_id6lid416qfq61,captured
pay_hovj0i33tis92x,order_raibl4j10y7ok1,2026-02-28 22:05:27,76100,card,1522,274,setl_wg96a9tv3603ep,captured
pay_je4kr3xyumqkru,order_f2esqwk13a2gp5,2026-02-04 08:59:35,78400,card,1568,282,setl_loeej8p0363err,captured
pay_cxchjofhwjbtbf,order_4ma7x2xt1yayws,2026-03-30 16:03:50,76500,upi,0,0,setl_j85ptu7k9no41z,captured
pay_2wcx9fm59aa3xe,order_66u53bsn9hjbbw,2026-03-20 09:26:10,69500,upi,0,0,setl_lkgzbjhy4tfgax,captured
pay_2w42elouv979rj,order_gvrr0ibrrj0tyq,2026-01-31 12:29:28,33400,upi,0,0,setl_4sse8tbudyqcih,captured
pay_wat0jnhxk41vu6,order_iq95aaaskikdf1,2026-01-31 19:47:37,136400,card,2728,491,setl_4sse8tbudyqcih,captured
pay_8wjz9qkjxvsaiy,order_c8l559z9ulw6e2,2026-03-28 17:50:33,77100,upi,0,0,setl_wqkvxto3gxvlu7,captured
pay_fe8oxxpzfsy5y9,order_0s8piivvjb22nf,2026-03-07 14:21:34,55100,upi,0,0,setl_8rcowtf1l5jtt6,captured
pay_0klensgh4cfqh7,order_11dzx88c0udo2p,2026-02-12 10:39:07,340700,netbanking,6473,1165,setl_blfhrgh8cu53a4,captured
pay_c9cwjd7jwdvtg3,order_glb9l66muvkymf,2026-01-06 07:01:45,195600,netbanking,3716,669,setl_8zu1ktsnub3qzg,captured
