refund_id,payment_id,created_at,amount_paise,type,settlement_id,status
rfnd_7l4xr1wg7scwbv,pay_k90rdkougbp6if,2026-03-12,34207,refund,setl_pjr716gfgceh8w,processed
rfnd_aq54b4gfe0oonm,pay_sstk4rfpagp1j8,2026-02-04,130800,refund,setl_loeej8p0363err,processed
rfnd_ooarr5q8795qa9,pay_s90q6uocxqbfox,2026-01-14,48900,chargeback,setl_opdcf6j5wixc2v,processed
rfnd_vghugah6bps45c,pay_etml4oxh5voeki,2026-02-22,95796,refund,setl_qal9h36vfum300,processed
rfnd_12i400q2ikpkgl,pay_qhvas5n159bvbm,2026-02-23,639800,refund,setl_2ejmt21xr8n21l,processed
rfnd_i3nc6onoy4xpmc,pay_jpd2zrtylt2xjt,2026-03-18,69100,refund,setl_i779xkgycurgiw,processed
rfnd_b1d29fsrtx28rq,pay_psc0g8099w5t46,2026-02-16,289700,refund,setl_hyo0coscm1600j,processed
rfnd_5ueelplxgs9pzd,pay_jsvz7kdkwr1syn,2026-03-12,501200,refund,setl_pjr716gfgceh8w,processed
rfnd_1sstgfvd41sepg,pay_bogxqttfenb8nr,2026-03-24,114500,refund,setl_bjuqk7c3un19bl,processed
rfnd_jxvf4bmrzmdq9e,pay_rizxaiab4j5eq9,2026-02-14,65600,refund,setl_9hpnkvdkx29mhx,processed
rfnd_ua0qiaa81utwzi,pay_rk76qwqikta9km,2026-03-21,48000,refund,setl_lkgzbjhy4tfgax,processed
rfnd_ms8i1hz4tbz608,pay_wec37bl7w3mibi,2026-02-17,41860,refund,setl_9994rz2os2zywh,processed
rfnd_n4n9ayvr8dj8ep,pay_wxi3j1ja8pz08a,2026-03-23,349000,refund,setl_ihlz60xnvw9v27,processed
rfnd_klef50te1grk9e,,2026-01-17,132400,refund,setl_jrm8iuv8pwnbst,processed
rfnd_7594abfd53zxjl,pay_efz9f088fuu27u,2026-02-10,76396,refund,setl_ex4ek002gc2r1u,processed
rfnd_3blich3rqjjgnq,pay_8g7hhmyyhzizg7,2026-02-27,480700,refund,setl_wg96a9tv3603ep,processed
rfnd_jhfmz6m0db1rdx,pay_5vdtmmvek5giqw,2026-02-25,304400,refund,setl_fjubwhj4nuw113,processed
rfnd_z8zr02ykggp0kk,pay_24f1fght41rvoh,2026-02-24,145200,refund,setl_dlrkavuq1t51a1,processed
rfnd_z3w8anqu8lk3ji,pay_rjgov69x39daut,2026-03-09,69700,refund,setl_6qsiife23ixpuu,processed
rfnd_n6z85sdnlkji2z,pay_pyxqzarfcm0h2c,2026-03-21,69800,refund,setl_lkgzbjhy4tfgax,processed
rfnd_s1ldyt7t3fr7oe,pay_hiz0jc9p2q55l2,2026-02-06,451295,chargeback,setl_x9629fsv80nszb,processed
rfnd_6x8gzio8mm6frm,pay_xc2t8c9srkxzdz,2026-02-13,157600,refund,setl_9hpnkvdkx29mhx,processed
rfnd_0pq5suhqcrpfd6,,2026-02-24,61900,refund,setl_dlrkavuq1t51a1,processed
rfnd_hv2ps3izbiibbh,pay_4cov4e5kthjb4x,2026-02-07,663300,refund,setl_x9629fsv80nszb,processed
rfnd_m1xpb0yfcciexi,pay_k7dpm2lvka39mj,2026-03-26,144700,refund,setl_86tilepkwugepq,processed
rfnd_z7bwzx1r0yfkm2,pay_qroltb1alot96t,2026-03-11,131300,refund,setl_mi7tt2ol7lcfi6,processed
rfnd_pb1lrtv5saj3hv,pay_369zdd4xfesyrm,2026-02-03,666100,refund,setl_cb3atkunlhj9mi,processed
rfnd_qqjq6n7enk6kbn,pay_2sip5ijtmegpbk,2026-03-14,107100,refund,setl_ob1zbkbpqox76q,processed
rfnd_tktxceqke89x4z,pay_bmbzpk3exbyg4j,2026-03-10,220000,refund,setl_cy02355rxf3dgx,processed
rfnd_hhe81zzc0tjdx7,pay_df8nd2klw0fv8n,2026-02-04,326300,refund,setl_loeej8p0363err,processed
rfnd_k7s4gfooony7rx,pay_hz1kdjludax6fl,2026-03-14,162300,refund,setl_ob1zbkbpqox76q,processed
rfnd_rx30zjrehu32q2,pay_ip4oj2zuf4j3yj,2026-02-08,82900,refund,setl_x9629fsv80nszb,processed
rfnd_hlc4b0p74aawdt,pay_n4wdwd79mu6hei,2026-01-25,141000,refund,setl_pe6faz7kvftyvi,processed
rfnd_wdzfjxy3x4drqy,pay_zwd58ick9mtnjp,2026-03-25,62500,refund,setl_d932kldoq526i0,processed
rfnd_i6wpwj91u3yyhh,pay_i3d6ugosbjog10,2026-02-02,246600,refund,setl_l3k3kfcno0zwp9,processed
rfnd_q6cgk4aa0ptwmp,pay_rjt4ys4x2sohpk,2026-03-01,325900,chargeback,setl_wg96a9tv3603ep,processed
rfnd_rezztmavfacgza,pay_5g6jqpz3b4pihj,2026-03-07,71400,refund,setl_8rcowtf1l5jtt6,processed
rfnd_r240h3200nqbm5,pay_9gcuv4dw33zvhk,2026-03-26,52100,refund,setl_86tilepkwugepq,processed
rfnd_juzf7n9wha45s7,pay_5ek8sk9bvo7h2c,2026-03-19,148600,refund,setl_hjydfszyf4rzmu,processed
rfnd_phcep9wn3jw350,pay_nz4wnzcvisbypk,2026-02-02,72800,refund,setl_l3k3kfcno0zwp9,processed
rfnd_2zvc6dlmokh17x,pay_uk2rf02jixjklh,2026-03-19,46498,refund,setl_hjydfszyf4rzmu,processed
rfnd_rskkrm2b8prmx0,pay_z8vug9ewubz9y5,2026-03-14,73000,refund,setl_ob1zbkbpqox76q,processed
rfnd_km0enfa5mfll1u,pay_iygl11vxbfq0l3,2026-02-11,56300,refund,setl_owvw9a3grfow7z,processed
rfnd_74j3j0e8phzb4d,pay_9vc70z1f9s2zk7,2026-03-18,43100,refund,setl_i779xkgycurgiw,processed
rfnd_gy9dkjbzv2vcqr,pay_9qjjwn2pjehjrj,2026-01-31,863800,refund,setl_4sse8tbudyqcih,processed
rfnd_i3iyb5lzu92fi0,pay_8miiae346la0mm,2026-02-06,35800,refund,setl_x9629fsv80nszb,processed
rfnd_o9yvqros2q1i37,pay_k53imb55jd17ko,2026-02-10,47640,refund,setl_ex4ek002gc2r1u,processed
rfnd_lk1rg2kg8r1o57,pay_qctoti1arflvgh,2026-02-25,53900,refund,setl_fjubwhj4nuw113,processed
rfnd_e8muvdqj52ujtq,pay_gzx0ms2g2c6opq,2026-03-01,120200,refund,setl_wg96a9tv3603ep,processed
rfnd_jj8w46smcuvcau,pay_bopbh05mnwaw3k,2026-02-10,146800,refund,setl_ex4ek002gc2r1u,processed
rfnd_61rwa4tsa4tsa3,pay_pu5xlurcw5r7qy,2026-03-03,83200,refund,setl_s36ohm15574nxh,processed
rfnd_pj6qpigq74mhnv,pay_ynrlkth4k3hp09,2026-02-17,49468,refund,setl_9994rz2os2zywh,processed
rfnd_kvz31ewzkpl7sw,pay_yq637of0e2ynic,2026-03-01,289000,refund,setl_wg96a9tv3603ep,processed
rfnd_k4np73ckoapdig,pay_s7h5x6w05kdgrz,2026-03-25,31200,refund,setl_d932kldoq526i0,processed
rfnd_k2ua8bqmgfxgsq,pay_kvrozryn7fdcyl,2026-01-11,164500,refund,setl_h9o3muublta3bw,processed
rfnd_hxsvoe1efv5dn0,pay_q5ib5mndbgsbvm,2026-02-19,619300,refund,setl_57dkr8we1ld4hf,processed
