settlement_id,settled_at,utr,net_amount_paise,fee_paise,gst_paise,refund_paise,adjustment_paise
setl_2lzlm5imf0kd5q,05-Jan-26,207592797549,7278877,38429,6918,0,0
setl_wepzs7szuqc9f6,06-Jan-26,219837883930,20632680,167136,30084,0,0
setl_jb4iycka7ebxm4,07-Jan-26,991286598492,7842013,40244,7243,0,0
setl_8zu1ktsnub3qzg,08-Jan-26,205450796750,9303618,75156,13526,0,0
setl_jde75ge9flap8q,09-Jan-26,994539668121,8094851,58261,10488,0,0
setl_xx3zh6x38f6k9i,12-Jan-26,656830924203,8961146,90724,16330,69900,0
setl_h9o3muublta3bw,13-Jan-26,449676178564,21359653,150718,27129,164500,0
setl_9ein7jcd4rdl3a,14-Jan-26,688158915910,6133592,57973,10435,0,0
setl_svzb0gabvczqv4,15-Jan-26,387594707548,9573515,45895,8262,0,0
setl_opdcf6j5wixc2v,16-Jan-26,603059499037,7690561,70661,12719,73359,0
setl_grv7k1qff39825,19-Jan-26,456439215708,7378243,33692,6065,0,0
setl_jrm8iuv8pwnbst,20-Jan-26,727973236408,23995399,214296,38573,1498178,0
setl_ckovgkmddyvf20,21-Jan-26,761321535436,7774837,21839,3929,881000,0
setl_i1ppblfh8tj5m7,22-Jan-26,607309955494,8778603,51056,9192,326500,0
setl_7u76rb7en0399o,23-Jan-26,400802633189,7155385,44167,7948,0,0
setl_olhoefx33wper0,26-Jan-26,562220951497,7511339,50052,9009,254800,0
setl_pe6faz7kvftyvi,27-Jan-26,648383920449,21058962,157215,28300,239339,0
setl_r7od0iq6cc73mp,28-Jan-26,873151011948,6827835,46582,8383,199500,0
setl_lmc6qbtpgvhqfs,29-Jan-26,602743797363,8548804,67200,12096,0,0
setl_nxu2v0awbwkxj5,30-Jan-26,983591297690,4823234,38112,6858,112896,0
setl_j502p555prthl8,02-Feb-26,388444329845,14281457,102585,18464,198900,0
setl_4sse8tbudyqcih,03-Feb-26,169779242554,41502914,332867,59919,1161900,0
setl_l3k3kfcno0zwp9,04-Feb-26,718351643867,9843949,61486,11065,319400,0
setl_cb3atkunlhj9mi,05-Feb-26,655529854364,6458847,61583,11086,666100,26316
setl_loeej8p0363err,06-Feb-26,890415017755,7530497,52787,9502,505414,0
setl_9redif5czb1c2o,09-Feb-26,248524545862,8581607,50885,9161,378400,-28247
setl_x9629fsv80nszb,10-Feb-26,143760190493,21446368,181254,32626,1845652,0
